B00, 19
B00, Blotteritem, {'type': 'Trade', 'time': 21.03333333333246, 'price': 200, 'party1': 'B00', 'party2': 'S62', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 49.737500000012616, 'price': 203, 'party1': 'B00', 'party2': 'S41', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 118.77083333330748, 'price': 212, 'party1': 'B00', 'party2': 'S59', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 125.6041666666346, 'price': 207, 'party1': 'S31', 'party2': 'B00', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 179.09999999991928, 'price': 210, 'party1': 'B00', 'party2': 'S01', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 210.11249999989107, 'price': 200, 'party1': 'B00', 'party2': 'S77', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 215.63333333321938, 'price': 199, 'party1': 'S38', 'party2': 'B00', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 263.4499999998426, 'price': 232, 'party1': 'B00', 'party2': 'S79', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 308.841666666468, 'price': 218, 'party1': 'B00', 'party2': 'S15', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 337.81249999977496, 'price': 200, 'party1': 'B00', 'party2': 'S07', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 347.91666666643243, 'price': 227, 'party1': 'B00', 'party2': 'S93', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 373.48333333307585, 'price': 249, 'party1': 'B00', 'party2': 'S86', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 405.53749999971336, 'price': 150, 'party1': 'S66', 'party2': 'B00', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 428.78333333302555, 'price': 230, 'party1': 'S29', 'party2': 'B00', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 457.4583333329995, 'price': 241, 'party1': 'B00', 'party2': 'S05', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 513.0708333329635, 'price': 247, 'party1': 'B00', 'party2': 'S24', 'qty': 1}
B00, Blotteritem, {'type': 'Trade', 'time': 519.3833333330439, 'price': 235, 'party1': 'B00', 'party2': 'S22', 'qty': 1}
